,Gene,X1_1PP,X10_1KD,X10TB,X11DA_H,X11SLS,X12_2SST,X12HR,X13MF,X15BB,X16_2BP,X17LB,X18TD,X1WV,X2CW,X3RY,X4HB,X4MH,X5SW,X6_1PH,X6SB,X7_1GG,X7GH,X8CB,X8RP,X9CG,X9CW,XJB1
406,cfa-mir-8878.MIMAT0034378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,cfa-mir-8879.MIMAT0034379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,cfa-mir-8880.MIMAT0034380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,cfa-mir-8881.MIMAT0034381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
410,cfa-mir-8882.MIMAT0034384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,cfa-mir-8883.MIMAT0034385,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
412,cfa-mir-8884.MIMAT0034386,11,47,17,75,4,15,31,15,19,3,15,29,8,15,27,14,106,80,55,7,51,27,10,54,7,7,2
413,cfa-mir-8885.MIMAT0034389,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,6,1
414,cfa-mir-8886.MIMAT0034390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,cfa-mir-8887.MIMAT0034391,0,1,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0,1,0,2,7,0,6,0,0,11,10
416,cfa-mir-8888.MIMAT0034392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,cfa-mir-8889.MIMAT0034394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,cfa-mir-889.MIMAT0034387,0,1,1,7,0,0,0,9,2,1,2,6,0,0,2,5,8,9,7,0,2,0,0,13,1,0,4
419,cfa-mir-8890.MIMAT0034397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,cfa-mir-8891.MIMAT0034398,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,cfa-mir-8892.MIMAT0034399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,cfa-mir-8893.MIMAT0034401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,cfa-mir-8894.MIMAT0034402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,cfa-mir-8895.MIMAT0034403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
